PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
Serdang Villa Apartment,Apartment,235000,320000,"Jalan Kasturi, 43200, Selangor",850 - 1050,Serdang Villa Apartment,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | Playground | 24 hours security | Swimming pool,Building: Building @ Jalan Kasturi 43200 | # Floors: N/A | # Units: N/A
Seremban Putra Apartments,Apartment,117900,169000,"Sikamat, Seremban, 70400, Negeri Sembilan",,Seremban Putra Apartments,Apartment,Syarikat Perumahan Negara Berhad,Freehold,N/A,N/A,5,N/A,,"Building: Building @ Jalan Sikamat, Sikamat, Seremban 70400 | # Floors: 5 | # Units: N/A"
Seri Aman Apartment,Apartment,170000,269999,"Jalan 22/44, Taman Sri Aman, 46300, Selangor",,Seri Aman Apartment,Apartment,N/A,Leasehold,N/A,N/A,10,N/A,Barbeque Area | Lounge | Mini-Mart | Playground | Recreation Lake | 24 hours security,"Building: Building @ Jalan 22/44, Taman Sri Aman 46300 | # Floors: 10 | # Units: N/A"
Seri Ayu Apartment,Apartment,0,0,"Jalan Kebun Nenas 1/Ks7, Bandar Putera Klang, 41200, Selangor",,Seri Ayu Apartment,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Cafe | Car Park | Covered car park | Driving range | Jogging track | Mini-Mart | Playground,Building: Seri Ayu Apartment | # Floors: 5 | # Units: N/A
Seri Ixora Apartment,Apartment,202500,340000,"Jalan Perimbun 27/11, Seksyen 27, 40675, Selangor",1000 - 1300,Seri Ixora Apartment,Apartment,N/A,Freehold,N/A,N/A,N/A,600,Badminton hall | Multi-purpose hall | 24 hours security | Surau (Male & Female) | Tennis courts,"Building: Building @ Jalan Perimbun 27/11, Seksyen 27 40675 | # Floors: N/A | # Units: 600 ** Building: Building @ - 40675 | # Floors: N/A | # Units: 599"
Seri Jati Apartments @ Setia Alam,Apartment,258888,360000,"Jalan Setia Gemilang U13/45C, Bandar Setia Alam, 40170, Selangor",800 - 2200,Seri Jati Apartments @ Setia Alam,Apartment,Setia Promenade Sdn Bhd (SP Setia),Freehold,N/A,2014,10,948,Badminton hall | Barbeque Area | Cafe | Car Park | Children's Playground | Perimeter Fencing | Gymnasium room | Jogging track | Launderette | Landscaped Garden | Playground | 24 hours security | Swimming pool | Wading pool,Building: Seri Jati Apartments @ Setia Alam | # Floors: 10 | # Units: 948
Seri Kayangan (Lok Kawi Heights),Apartment,0,0,"Lok Kawi Heights, Lok Kawi, Papar, 89600, Sabah",,Seri Kayangan (Lok Kawi Heights),Apartment,Sabah Urban Development Corporation,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Landscaped Garden | Playground | 24 hours security,"Building: Building @ Jln Lok Kawi Papar, Lok Kawi Heights, Lok Kawi, Papar 89600 | # Floors: 5 | # Units: N/A ** Building: Building @ Jln Lok Kawi Papar, 89600 | # Floors: 5 | # Units: N/A"
Seri Maya Apartments (Lok Kawi Heights),Apartment,0,0,"Lok Kawi Heights, Lok Kawi, Papar, 89600, Sabah",,Seri Maya Apartments (Lok Kawi Heights),Apartment,Sabah Urban Development Corporation,Leasehold,N/A,N/A,7,N/A,Badminton hall | Barbeque Area | Cafe | Covered car park | Clubhouse | Gymnasium room | 24 hours security | Swimming pool,"Building: Building @ Jln Lok Kawi Papar, Lok Kawi Heights, Lok Kawi, Papar 89600 | # Floors: 7 | # Units: N/A ** Building: Building @ Jln Lok Kawi Papar, 89600 | # Floors: 7 | # Units: N/A"
Seri Mutiara Apartments (Seri Alam),Apartment,138000,470000,"Persiaran Seri Alam, Bandar Seri Alam, 81750, Johor",700 - 2300,Seri Mutiara Apartments (Seri Alam),Apartment,N/A,Freehold,N/A,N/A,N/A,698,Badminton hall | Basketball court | Barbeque Area | Game room | Gymnasium room | Jogging track | Lounge | Nursery | Playground | Recreation Lake | Salon | 24 hours security | Tennis courts,Building: Seri Mutiara Apartment (Seri Alam) | # Floors: N/A | # Units: 698
Seri Warisan Apartment,Apartment,0,0,"Inanam, Kota Kinabalu, 88400, Sabah",,Seri Warisan Apartment,Apartment,Wah Mie Group,Leasehold,N/A,N/A,4,440,Covered car park | Children's Playground | Driving range | Eateries | Restaurant | 24 hours security,Building: Seri Warisan Apartment | # Floors: 4 | # Units: 440
Seroja Apartment (Putra Perdana),Apartment,170000,260000,"Jalan Putra Perdana 10, Taman Putra Perdana, 47100, Selangor",990 - 1200,Seroja Apartment (Putra Perdana),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Putra Perdana 10, Taman Putra Perdana 47100 | # Floors: N/A | # Units: N/A"
Seroja Apartment (Taman Tasik Jaya),Apartment,0,0,"Taman Tasik Jaya, Seremban, 70400, Negeri Sembilan",,Seroja Apartment (Taman Tasik Jaya),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park,"Building: Building @ Jalan Bunga Raya 21 Taman Tasik Jaya, Seremban 70400 | # Floors: N/A | # Units: N/A"
Setia Walk,"Shop / Office, Soho, Apartment",420000,9000000,"Persiaran Wawasan, 47100, Selangor",1500 - 8200,Setia Walk,Multiple,SP Setia Berhad,Freehold,N/A,2014,N/A,1031,Covered car park | Landscaped Garden | 24 hours security | Wading pool,Building: The Solace (R3) | # Floors: N/A | # Units: N/A ** Building: The Brio & Vio (R2 & R1) | # Floors: N/A | # Units: N/A ** Building: The Shopping Complex | # Floors: N/A | # Units: N/A ** Building: Shop / Office | # Floors: N/A | # Units: N/A
Siantan Apartment,Apartment,95000,130000,"Jalan Putra Perdana 3A, 47100, Selangor",,Siantan Apartment,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Covered car park | Lounge,Building: Building @ Jalan Putra Perdana 3A 47100 | # Floors: 5 | # Units: N/A
Sierra Rise Apartments (Bandar Sierra),Apartment,0,0,"Bandar Sierra, Telipok, Kota Kinabalu, 89200, Sabah",,Sierra Rise Apartments (Bandar Sierra),Apartment,N/A,Leasehold,N/A,N/A,5,192,Basketball court | Covered car park | Landscaped Garden | Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Tuaran Bypass, Bandar Sierra, Telipok, Kota Kinabalu 89200 | # Floors: 5 | # Units: 192 ** Building: Building @ Jalan Tuaran Bypass, 89200 | # Floors: 5 | # Units: 192"
Sierra Vista Apartment,Apartment,0,0,"Lebuh Bukit Jambul, 11900, Penang",,Sierra Vista Apartment,Apartment,IJM Land Berhad,Leasehold,N/A,N/A,5,10,Cafe | Covered car park | Eateries | Jogging track | Restaurant | 24 hours security | Swimming pool,Building: Sierra Vista Apartment | # Floors: 5 | # Units: 10
Silk Residence,"Retail Office, Retail Space, Apartment, Service Residence",295000,2380000,"Off Cheras Selatan, Balakong, 43000, Selangor",450 - 5000,Silk Residence,Multiple,Cheras Hong Soon Development Sdn. Bhd.,Freehold,N/A,2014,30,551,Cafe | Clubhouse | Perimeter Fencing | Gymnasium room | Multi-purpose hall | Playground | Sauna | 24 hours security | Surau (Male & Female) | Swimming pool | Wading pool,Building: Silk Residence | # Floors: 30 | # Units: 551
Sinar Apartment,Apartment,0,0,"Taman Salak Perdana, 43900, Selangor",,Sinar Apartment,Apartment,Paramount Corporation Berhad,Freehold,N/A,2015,5,160,Perimeter Fencing | Main entrance | Playground | 24 hours security,Building: Sinar Apartment | # Floors: 5 | # Units: 160
Skudai Parade Apartment,Apartment,0,0,"Jalan Skudai, Batu 10, 81300, Johor",1100 - 1300,Skudai Parade Apartment,Apartment,N/A,Freehold,N/A,N/A,19,149,Badminton hall | Barbeque Area | Gymnasium room | Jogging track | Lounge | Multi-purpose hall | Nursery | Recreation Lake | Sauna | 24 hours security | Spa pool | Tennis courts,"Building: Building @ Jalan Skudai, Batu 10 81300 | # Floors: 19 | # Units: 149"
Sky Trees,"Retail Space, Apartment",0,570570,"Nusajaya, 81200, Johor",,Sky Trees,Multiple,Bukit Indah (Johor) Sdn Bhd,Freehold,N/A,2023,24,484,Barbeque Area | Children's Playground | Function room | Game room | Gymnasium room | Jacuzzi | Karaoke | Pool Deck | Reading Room | 24 hours security | Swimming pool | Aeroyoga Room,Building: Tower A | # Floors: 23 | # Units: N/A ** Building: Tower B | # Floors: 24 | # Units: N/A
SpringVille Residences,Condominium,230000,550000,"Persiaran Dr George Lim Ah Soo, 43300, Selangor",850 - 1800,SpringVille Residences,Condominium,Global Oriental Berhad,Leasehold,N/A,2016,18,277,Cafe | Perimeter Fencing | Gymnasium room | Multi-purpose hall | Playground | 24 hours security | Surau (Male & Female) | Swimming pool | Wading pool,Building: Springville Residence | # Floors: 18 | # Units: 277
Sri Akasia,Apartment,270000,350000,"Taman Tampoi Indah, 81200, Johor",1050 - 1300,Sri Akasia,Apartment,N/A,Leasehold,N/A,N/A,N/A,698,Badminton hall | Barbeque Area | Game room | Launderette | Landscaped Garden | Lounge | Nursery | Recreation Lake | Salon | 24 hours security | Surau (Male & Female),Building: Building @ Taman Tampoi Indah 81200 | # Floors: N/A | # Units: 698
Sri Aman (Block C),Apartment,220000,320000,"Relau, 11900, Penang",900 - 1000,Sri Aman (Block C),Apartment,Chong Company Sdn. Bhd.,Freehold,N/A,N/A,N/A,701,,Building: Building @ Relau 11900 | # Floors: N/A | # Units: 701
Sri Angkasa Apartment,Apartment,0,0,"Jalan Kancung Darat 28/7, Taman Megah, Shah Alam, 40000, Selangor",,Sri Angkasa Apartment,Apartment,N/A,Freehold,N/A,N/A,18,N/A,Playground | 24 hours security,"Building: Building @ Jalan Kancung Darat 28/7, Taman Megah, Shah Alam 40000 | # Floors: 18 | # Units: N/A"
Sri Awana Townhouse,Apartment,215000,388000,"Jalan Silat Lincah, Bandar Selesa Jaya, 81300, Johor",900 - 1200,Sri Awana Townhouse,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Nursery,"Building: Building @ Jalan Silat Lincah, Bandar Selesa Jaya 81300 | # Floors: 5 | # Units: N/A ** Building: Building @ - 81300 | # Floors: 5 | # Units: N/A"
Sri Bayu Apartment (Bandar Selesa Jaya),Apartment,79000,180000,"Jalan Silat Harimau 21, Bandar Selesa Jaya, 81300, Johor",800 - 950,Sri Bayu Apartment (Bandar Selesa Jaya),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Playground,"Building: Building @ Jalan Silat Harimau 21, Bandar Selesa Jaya 81300 | # Floors: N/A | # Units: N/A"
Sri Bayu Apartments (Puchong Jaya),Apartment,328000,970000,"Jalan Pipit, Bandar Puchong Jaya, 47100, Selangor",900 - 1200,Sri Bayu Apartments (Puchong Jaya),Apartment,N/A,Freehold,N/A,N/A,16,N/A,Badminton hall | Barbeque Area | Covered car park | Gymnasium room | Lounge | Mini-Mart | Nursery | Playground | Recreation Lake | 24 hours security | Swimming pool | Tennis courts,"Building: Building @ Jalan Pipit, Bandar Puchong Jaya 47100 | # Floors: 16 | # Units: N/A"
Sri Bukit Tunku,Apartment,850000,15000000,"Lorong Tun Ismail, 50480, Kuala Lumpur",,Sri Bukit Tunku,Apartment,N/A,Freehold,N/A,N/A,5,80,Badminton hall | Barbeque Area | Lounge | Mini-Mart | Multi-purpose hall | Nursery | Sauna,Building: Building @ Lorong Tun Ismail 50480 | # Floors: 5 | # Units: 80
Sri Bunga Raya,Apartment,0,0,"Jalan Siput Lala, Tanjung Tokong, 10470, Penang",,Sri Bunga Raya,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security,"Building: Building @ 7 Jalan Siput Lala, Tanjung Tokong 10470 | # Floors: N/A | # Units: N/A"
Sri Camellia (Sepakat Indah),Apartment,200000,360000,"Jalan Sepakat Indah 3, 43000, Selangor",800 - 900,Sri Camellia (Sepakat Indah),Apartment,N/A,Freehold,N/A,N/A,15,N/A,,Building: Building @ 0 Jalan Sepakat Indah 3 43000 | # Floors: 15 | # Units: N/A ** Building: Building @ 0 43000 | # Floors: 15 | # Units: N/A
Sri Cassia,Apartment,270000,399000,"Persiaran Indera, Bandar Puteri, 47100, Selangor",900 - 1150,Sri Cassia,Apartment,N/A,Freehold,N/A,N/A,5,1,Badminton hall | Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security | Swimming pool,Building: Sri cassia | # Floors: 5 | # Units: N/A
Sri Cempaka Apartment (Bukit Kinrara),Apartment,199000,270000,"Jalan Taman Bukit Kinrara 1/11,Taman Bukit Kinrara, 47100, Selangor",900 - 1000,Sri Cempaka Apartment (Bukit Kinrara),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Lounge | Nursery | Recreation Lake | 24 hours security,"Building: Building @ Jalan Taman Bukit Kinrara 1/11,Taman Bukit Kinrara 47100 | # Floors: 5 | # Units: N/A"
Sri Cempaka Apartment (Kajang),Apartment,215000,300000,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, 43000, Selangor",1000 - 1100,Sri Cempaka Apartment (Kajang),Apartment,TLS Group,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2 43000 | # Floors: N/A | # Units: N/A"
Sri Cempaka (Bandar Puchong Jaya),Apartment,195000,298000,"Jalan Merbuk, Bandar Puchong Jaya, 47100, Selangor",900 - 950,Sri Cempaka (Bandar Puchong Jaya),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Landscaped Garden | Lounge | Nursery | 24 hours security,"Building: Building @ Jalan Merbuk, Bandar Puchong Jaya 47100 | # Floors: 5 | # Units: N/A"
Sri Concordia,Apartment,0,0,"Jalan Concordia, 10250, Penang",,Sri Concordia,Apartment,N/A,Freehold,N/A,N/A,6,N/A,Covered car park | Driving range | Jogging track | Playground | 24 hours security,Building: Sri Concordia | # Floors: 6 | # Units: N/A
Sri Dahlia (Bandar Puteri Puchong),Apartment,140000,228000,"Jalan Laman Putri 3, Bandar Puteri Puchong, 47100, Selangor",650 - 800,Sri Dahlia (Bandar Puteri Puchong),Apartment,N/A,Freehold,N/A,N/A,5,600,Barbeque Area | Covered car park | Perimeter Fencing | Landscaped Garden | Lounge | Mini-Mart | Nursery | Playground | Recreation Lake | 24 hours security,Building: Sri Dahlia (Bandar Puteri Puchong) | # Floors: 5 | # Units: 600
Sri Damansara Courts,Apartment,309000,504000,"Persiaran Kenanga, Bandar Sri Damansara, 53000, Selangor",475 - 1300,Sri Damansara Courts,Apartment,N/A,Freehold,N/A,N/A,10,N/A,Badminton hall | Barbeque Area | Covered car park | Gymnasium room | Lounge | Mini-Mart | Nursery | Playground | 24 hours security | Swimming pool,"Building: Building @ Persiaran Kenanga, Bandar Sri Damansara 53000 | # Floors: 10 | # Units: N/A"
Sri Ehsan Apartment,Apartment,180000,320000,"Off Lebuhraya Selayang - Kepong, Taman Sri Ehsan, 52100, Kuala Lumpur",,Sri Ehsan Apartment,Apartment,N/A,Freehold,N/A,2013,5,100,Main entrance | Open car park,Building: Sri Ehsan Apartment | # Floors: 5 | # Units: 100
Sri Emas (Codrington Avenue),Apartment,0,0,"Codrington Avenue, 10350, Penang",,Sri Emas (Codrington Avenue),Apartment,N/A,Freehold,N/A,N/A,2,N/A,Lounge | Nursery,Building: Building @ 26 Codrington Avenue 10350 | # Floors: 2 | # Units: N/A
Sri Endah Apartment,Apartment,168000,280000,"Jalan 3/149b, Taman Sri Endah, 57000, Kuala Lumpur",1000 - 1250,Sri Endah Apartment,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Perimeter Fencing | Jogging track | Open car park | Playground | 24 hours security | Swimming pool,Building: Sri Endah Apartment | # Floors: 5 | # Units: N/A
Sri Gotong Apartment,Apartment,215000,348000,"Jalan Medan Selayang 2,Kawasan Industri Batu Caves, 68100, Selangor",800 - 1050,Sri Gotong Apartment,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Covered car park | Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Medan Selayang 2,Kawasan Industri Batu Caves 68100 | # Floors: N/A | # Units: N/A"
Sri Harmonis Apartment,Apartment,220000,470000,"Jalan Gombak, Taman Harmoni, Gombak, 53100, Kuala Lumpur",1100 - 1200,Sri Harmonis Apartment,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security,"Building: Building @ Jalan Gombak, Taman Harmoni, Gombak 53100 | # Floors: N/A | # Units: N/A ** Building: Building @ - 53100 | # Floors: N/A | # Units: N/A"
Sri Impian Apartment (Larkin Perdana),Apartment,180000,300000,"Jalan Larkin Perdana 2, 80350, Johor",900 - 1300,Sri Impian Apartment (Larkin Perdana),Apartment,N/A,Leasehold,N/A,N/A,21,N/A,Barbeque Area | Lounge | Nursery | Playground,Building: Building @ Jalan Larkin Perdana 2 80350 | # Floors: 21 | # Units: N/A ** Building: Building @ - 80350 | # Floors: 21 | # Units: N/A
Sri Impian (Penang),Apartment,215000,590000,"Lengkok Angsana, Bandar Baru Farlim, 11500, Penang",800 - 1200,Sri Impian (Penang),Apartment,N/A,Leasehold,N/A,N/A,22,N/A,Playground | 24 hours security,"Building: Building @ 7-15 Lengkok Angsana, Bandar Baru Farlim 11500 | # Floors: 22 | # Units: N/A"
Sri Impian (Seri Kembangan),Apartment,0,0,"Jalan BS 9/1, Taman Bukit Serdang, 43300, Selangor",750 - 800,Sri Impian (Seri Kembangan),Apartment,N/A,Freehold,N/A,2014,5,N/A,Children's Playground | Perimeter Fencing | Open car park | Playground | 24 hours security,Building: Sri Impian (Seri Kembangan) | # Floors: 5 | # Units: N/A
Sri Impian (Ukay Perdana),Apartment,0,0,"Jalan UP 3/2, Ukay Perdana, 68000, Selangor",,Sri Impian (Ukay Perdana),Apartment,N/A,Leasehold,N/A,N/A,5,750,Lounge | Nursery,"Building: Building @ Jalan UP 3/2, Ukay Perdana 68000 | # Floors: 5 | # Units: 750"
Sri Indah Apartment,Apartment,100000,350000,"Persiaran Lestari Perdana, Taman Sri Indah, 43300, Selangor",600 - 800,Sri Indah Apartment,Apartment,N/A,Leasehold,N/A,N/A,5,720,Barbeque Area | Covered car park | Lounge | Mini-Mart | Playground | Recreation Lake,"Building: Building @ Persiaran Lestari Perdana, Taman Sri Indah 43300 | # Floors: 5 | # Units: 720"
Sri Ivory (Sri Ivori) Apartment,Apartment,229000,288000,"Solok Angsana, Bandar Baru Farlim, 11500, Penang",,Sri Ivory (Sri Ivori) Apartment,Apartment,N/A,Leasehold,N/A,N/A,25,N/A,24 hours security,"Building: Building @ Solok Angsana, Bandar Baru Farlim 11500 | # Floors: 25 | # Units: N/A"
Sri Jasmin Apartment,Apartment,0,0,"Bandar Universiti Teknologi Lagenda, 71700, Negeri Sembilan",,Sri Jasmin Apartment,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,Building: Building @ Persiaran UTL Bandar Universiti Teknologi Lagenda 71700 | # Floors: N/A | # Units: N/A ** Building: Building @ Persiaran UTL 71700 | # Floors: N/A | # Units: N/A
Sri Jati I (OKR),Apartment,263000,410000,"Jalan Sri Jati 3, Taman Sri Jati, 58200, Kuala Lumpur",1000 - 1700,Sri Jati I (OKR),Apartment,Sapphire Empire Sdn Bhd,Freehold,N/A,N/A,N/A,N/A,Covered car park | Gymnasium room | Jogging track | Playground | 24 hours security | Swimming pool | Wading pool,"Building: Building @ Jalan Sri Jati 3, Taman Sri Jati 58200 | # Floors: N/A | # Units: N/A ** Building: Building @ - 58200 | # Floors: N/A | # Units: N/A"
Sri Jelutong Apartments,Apartment,250000,300000,"Off Jalan Jelutong, 11600, Penang",,Sri Jelutong Apartments,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security,"Building: Building @ Lorong Madrasah, Off Jalan Jelutong 11600 | # Floors: N/A | # Units: N/A"
Sri Kenanga Apartment,Apartment,170000,330000,"Jalan Bangau 2, Bandar Puchong Jaya, 47100, Selangor",,Sri Kenanga Apartment,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Lounge | Nursery | 24 hours security,"Building: Building @ Jalan Bangau 2, Bandar Puchong Jaya 47100 | # Floors: 5 | # Units: N/A ** Building: Building @ - 47100 | # Floors: 5 | # Units: N/A"
Sri Kenari Apartment (Tampoi Indah),Apartment,189540,280000,"Jalan Titiwangsa Utama, Taman Tampoi Indah, 81200, Johor",950 - 1200,Sri Kenari Apartment (Tampoi Indah),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Open car park | 24 hours security | Swimming pool,"Building: Building @ Jalan Titiwangsa Utama, Taman Tampoi Indah 81200 | # Floors: N/A | # Units: N/A ** Building: Building @ - 81200 | # Floors: N/A | # Units: N/A"
Sri Kenny,"Apartment, Condominium",1500000,5500000,"Jalan Tun Ismail, 50480, Kuala Lumpur",5000 - 12500,Sri Kenny,Multiple,N/A,Freehold,N/A,N/A,5,1,Badminton hall | Barbeque Area | Children's Playground | Perimeter Fencing | Jogging track | Lounge | Mini-Mart | Multi-purpose hall | Nursery | Playground | Sauna | 24 hours security | Squash court | Swimming pool,Building: Sri Kenny | # Floors: 5 | # Units: 108
Sri Kepayan Apartment,Apartment,0,0,"Lorong Sri Kepayan 14, Taman Sri Kepayan, 88200, Sabah",,Sri Kepayan Apartment,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Covered car park | Children's Playground | Driving range | Open car park | 24 hours security,Building: Sri Kepayan Apartment | # Floors: 4 | # Units: N/A
Sri Kesidang Apartment,Apartment,235000,370000,"Jalan Bayan 4, Bandar Puchong Jaya, 47100, Selangor",850 - 1200,Sri Kesidang Apartment,Apartment,N/A,Freehold,N/A,2016,5,300,Barbeque Area | Gymnasium room | Jogging track | Open car park | Playground | 24 hours security | Swimming pool,Building: Sri Kesidang Apartment | # Floors: 5 | # Units: 300
Sri Kristal,Apartment,350000,440000,"Lengkok Angsana, Bandar Baru Farlim, 11500, Penang",1000 - 1250,Sri Kristal,Apartment,Farlim Group (M) Berhad,Leasehold,N/A,N/A,N/A,398,Basketball court | Barbeque Area | Gymnasium room | Jacuzzi | Playground | Sauna | 24 hours security | Swimming pool,"Building: Building @ Lengkok Angsana, Bandar Baru Farlim 11500 | # Floors: N/A | # Units: 398"
Sri Melor (Mulberry Court),Apartment,180000,234000,"Jalan UP 4/5, Ukay Perdana, 68000, Selangor",,Sri Melor (Mulberry Court),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,"Building: Building @ Jalan UP 4/5, Ukay Perdana 68000 | # Floors: 5 | # Units: N/A"
Sri Mewah Apartment,Apartment,0,0,"Jalan Seri Kembangan 6/1, Taman Seri Kembangan, 43300, Selangor",,Sri Mewah Apartment,Apartment,N/A,Leasehold,N/A,N/A,11,N/A,Car Park | 24 hours security,Building: Sri Mewah Apartment | # Floors: 11 | # Units: N/A
Sri Nipah,Apartment,275000,279000,"Medan Nipah 2, 11900, Penang",,Sri Nipah,Apartment,N/A,Freehold,N/A,N/A,9,70,Car Park | Children's Playground | Eateries | Jogging track | Lounge | Mini-Mart | Nursery | Restaurant | 24 hours security,Building: Sri Nipah | # Floors: 9 | # Units: 70
Sri Pinang (Puchong),Apartment,244000,370000,"Jalan Wawasan 5/4, Bandar Puteri, 47100, Selangor",1000 - 1100,Sri Pinang (Puchong),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Badminton hall | Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Wawasan 5/4, Bandar Puteri 47100 | # Floors: 5 | # Units: N/A"
Sri Pinang Villa,Apartment,320000,398000,"Jalan D, Off Jalan Cempaka, Taman Cempaka, 55100, Kuala Lumpur",,Sri Pinang Villa,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security,"Building: Building @ 0 Jalan D, Off Jalan Cempaka, Taman Cempaka 55100 | # Floors: N/A | # Units: N/A"
Sri Putra Apartment @ Sungai Buloh,Apartment,190000,250000,"Taman Sri Putra, 47000, Selangor",,Sri Putra Apartment @ Sungai Buloh,Apartment,N/A,Freehold,N/A,2013,N/A,N/A,Perimeter Fencing | Main entrance | 24 hours security,Building: Sri Putra Apartment @ Sungai Buloh | # Floors: N/A | # Units: N/A
Sri Raya Apartments,Apartment,190000,405000,"Jalan Pasir Emas 4, 43000, Selangor",700 - 800,Sri Raya Apartments,Apartment,TLS Group,Freehold,N/A,N/A,16,N/A,Barbeque Area | Covered car park | Perimeter Fencing | Lounge | Main entrance | Nursery | Playground | Recreation Lake | 24 hours security | Swimming pool,Building: Sri Raya Apartments | # Floors: 16 | # Units: N/A
Sri Raya (Rayana Rise),Apartment,0,0,"Jalan UP 4, Ukay Perdana, 68000, Selangor",,Sri Raya (Rayana Rise),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Basketball court | Barbeque Area | Covered car park | Jogging track | Lounge | Nursery | Playground | 24 hours security,Building: Sri Raya (Rayana Rise) | # Floors: 5 | # Units: N/A
Sri Samudera Seaview Residence Suites,Apartment,250000,520000,"Jalan Mahmoodiah, 80100, Johor",1100 - 2000,Sri Samudera Seaview Residence Suites,Apartment,N/A,Freehold,N/A,N/A,22,188,Badminton hall | Barbeque Area | Landscaped Garden | Lounge | Nursery,Building: Building @ Jalan Mahmoodiah 80100 | # Floors: 22 | # Units: 188
Sri Saujana (Georgetown),Apartment,165000,280000,"Lebuh Macallum, 10300, Penang",650 - 1200,Sri Saujana (Georgetown),Apartment,PLB Land Sdn Bhd,Leasehold,N/A,N/A,N/A,2208,Multi-purpose hall | 24 hours security,Building: Building @ Lebuh Macallum 10300 | # Floors: N/A | # Units: 2208
Sri Selera Court,Apartment,145000,180000,"Persiaran Perdana, Taman Tan Sri Yaacob, 81300, Johor",350 - 1100,Sri Selera Court,Apartment,N/A,Freehold,N/A,N/A,N/A,536,Landscaped Garden | Playground | 24 hours security | Swimming pool,"Building: Building @ Persiaran Perdana, Taman Tan Sri Yaacob 81300 | # Floors: N/A | # Units: 536"
Sri Sentosa AC4 Block E,Apartment,240000,270000,"Jalan Taman Sri Sentosa, 58000, Selangor",900 - 999,Sri Sentosa AC4 Block E,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Badminton hall | Covered car park | Function room | Mini-Mart | Playground | Reading Room | 24 hours security | Surau (Male & Female),Building: Building @ Jalan Taman Sri Sentosa 58000 | # Floors: N/A | # Units: N/A
Sri Subang Apartment,Apartment,200000,280000,"Jalan PJS 10/24, Taman Sri Subang, 46000, Selangor",,Sri Subang Apartment,Apartment,N/A,Leasehold,N/A,2015,5,N/A,Barbeque Area | Covered car park | Perimeter Fencing | Lounge | Open car park | Playground | Salon | 24 hours security,Building: Sri Subang Apartment | # Floors: 5 | # Units: N/A
Sri Tanjung (Puchong),Apartment,250000,350000,"Jalan Bandar Puchong Jaya, Bandar Puchong Jaya, 47100, Selangor",300 - 1200,Sri Tanjung (Puchong),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Badminton hall | Barbeque Area | Lounge | Nursery,"Building: Building @ Jalan Bandar Puchong Jaya, Bandar Puchong Jaya 47100 | # Floors: 5 | # Units: N/A ** Building: Building @ - 47100 | # Floors: 5 | # Units: N/A"
Sri Teratai Apartment,Apartment,150000,340000,"Lebuhraya Bukit Jalil, Bandar Puchong Jaya, 47100, Selangor",,Sri Teratai Apartment,Apartment,N/A,Freehold,N/A,N/A,14,N/A,Barbeque Area | Car Park | Covered car park | Perimeter Fencing | Lounge | Mini-Mart | Nursery | Playground | Recreation Lake | Salon | 24 hours security,Building: Sri Teratai Apartment | # Floors: 14 | # Units: N/A
