PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
Pangsapuri Sri Nervillia,Apartment,125000,3000000,"Jalan Anggerik Nervillia 31/166, Kota Kemuning, 40460, Selangor",,Pangsapuri Sri Nervillia,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park | Surau (Male & Female),"Building: Building @ Jalan Anggerik Nervillia 31/166, Kota Kemuning 40460 | # Floors: N/A | # Units: N/A"
Pangsapuri Sri Pelangi,Apartment,199000,240000,"Jalan Bumi U5/137,Section U5,Bdr Pinggiran Subang, 40150, Selangor",1100 - 1400,Pangsapuri Sri Pelangi,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Jogging track | Lounge | Nursery | Playground | 24 hours security | Tennis courts | Table Tennis,"Building: Building @ 1 Jalan Bumi U5/137,Section U5,Bdr Pinggiran Subang 40150 | # Floors: 5 | # Units: N/A ** Building: Building @ 1 40150 | # Floors: 5 | # Units: N/A"
Pangsapuri Suakasih,Apartment,190000,888000,"Bandar Tun Hussein Onn, 43200, Selangor",,Pangsapuri Suakasih,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Badminton hall | Barbeque Area | Covered car park | Lounge | Nursery | Playground | Salon | 24 hours security,Building: Building @ Bandar Tun Hussein Onn 43200 | # Floors: 4 | # Units: N/A
Pangsapuri Subang Impian,Apartment,200000,270000,"Jalan Zuhal U5/177, 40150, Selangor",,Pangsapuri Subang Impian,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,Building: Building @ 1 & 2 Jalan Zuhal U5/177 40150 | # Floors: 5 | # Units: N/A
Pangsapuri Subang Jaya,Apartment,425000,430000,"Jalan SS 15/6, SS 15, 47500, Selangor",,Pangsapuri Subang Jaya,Apartment,N/A,Freehold,N/A,N/A,4,N/A,Badminton hall | Covered car park | Lounge | Nursery | 24 hours security | Swimming pool,"Building: Building @ 45 Jalan SS 15/6, SS 15 47500 | # Floors: 4 | # Units: N/A"
Pangsapuri Suria Avenue (Shah Alam),Apartment,315000,360000,"Jalan Dawai 16/2, Section 16, 40200, Selangor",1200 - 1300,Pangsapuri Suria Avenue (Shah Alam),Apartment,N/A,Leasehold,N/A,N/A,7,N/A,Lounge | Nursery | Recreation Lake,"Building: Building @ 1 Jalan Dawai 16/2, Section 16 40200 | # Floors: 7 | # Units: N/A"
Pangsapuri Suria (Taman Kinrara),Apartment,144360,260000,"Jalan TK 4/5, Taman Kinrara, Puchong, 47100, Selangor",,Pangsapuri Suria (Taman Kinrara),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Open car park,"Building: Building @ Jalan TK 4/5, Taman Kinrara, Puchong 47100 | # Floors: 5 | # Units: N/A ** Building: Building @ - 47100 | # Floors: 5 | # Units: N/A"
Pangsapuri Sutera Apartment (Kajang),Apartment,220000,260000,"Jalan Seksyen 3/1A, 43000, Selangor",,Pangsapuri Sutera Apartment (Kajang),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,Building: Building @ Jalan Seksyen 3/1A 43000 | # Floors: 5 | # Units: N/A
Pangsapuri Tainia,Apartment,295000,350000,"Jln Kenyalang 11/3, 47810, Selangor",1100 - 1450,Pangsapuri Tainia,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Jogging track | Playground | 24 hours security,Building: Building @ Jln Kenyalang 11/3 47810 | # Floors: N/A | # Units: N/A
Pangsapuri Taman Desa Batu Caves,Apartment,225000,248000,"Jalan Desa Batu Caves 1/3, Taman Desa Batu Caves, 68100, Selangor",,Pangsapuri Taman Desa Batu Caves,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Desa Batu Caves 1/3, Taman Desa Batu Caves 68100 | # Floors: N/A | # Units: N/A"
Pangsapuri Taman Seri Setanggi,Apartment,145000,250000,"Off Jalan Tebrau, Taman Seri Setanggi, Johor Bahru, 80250, Johor",900 - 1200,Pangsapuri Taman Seri Setanggi,Apartment,Syarikat Perumahan Negara Berhad,Leasehold,N/A,N/A,5,N/A,Playground,"Building: Building @ Jalan Selangai, Off Jalan Tebrau, Taman Seri Setanggi, Johor Bahru 80250 | # Floors: 5 | # Units: N/A"
